3301
0 1 2 3
149 150 151 155
149 216 221 398
64 208 63 222
65 87 92 195
206 210 362 483
44 43 46 49
583 584 378 379
32 36 40 140
39 141 40 146
69 74 72 73
156 215 218 220
147 231 148 244
73 75 148 244
113 458 333 461
73 148 312 531
50 265 69 573
173 420 421 432
54 422 423 581
436 422 437 432
585 421 431 572
436 421 422 432
436 422 421 586
587 421 572 586
171 173 431 432
22 144 143 245
0 3 10 14
78 232 234 339
247 279 351 443
561 20 145 338
588 330 589 489
590 591 592 280
143 262 261 274
6 22 145 262
519 567 143 145
552 554 145 273
567 554 561 145
519 145 143 274
81 84 85 239
552 273 274 342
161 176 385 593
97 178 161 593
261 262 267 274
269 283 405 409
182 405 183 410
329 328 594 581
161 177 178 182
595 232 112 341
266 339 280 342
596 572 597 581
592 553 280 339
109 112 232 598
65 115 138 195
150 152 151 153
141 140 146 152
150 189 191 210
149 215 216 398
140 219 151 493
146 152 147 211
38 106 40 148
188 231 196 344
599 574 513 600
601 602 599 574
166 295 291 514
603 174 604 574
601 599 603 574
604 174 168 574
210 480 217 483
30 335 332 360
171 420 173 432
168 172 514 574
544 605 336 461
168 169 459 460
605 289 336 461
506 335 332 336
506 332 544 336
544 336 333 461
30 332 315 360
34 35 214 368
596 597 594 581
536 294 310 380
107 140 142 156
606 312 458 531
607 310 71 311
537 310 607 311
536 292 606 310
590 280 463 282
256 134 205 258
608 117 16 102
608 101 102 609
610 162 611 163
610 162 159 165
256 611 102 258
492 551 612 565
613 233 232 280
117 16 102 258
614 100 239 444
591 615 592 613
616 104 100 525
356 99 104 609
616 356 99 104
614 100 450 239
159 160 163 384
617 444 547 449
616 99 100 104
10 13 12 24
5 7 15 240
76 79 78 234
85 444 100 525
611 162 102 163
618 104 101 609
356 104 618 609
15 84 82 240
14 18 99 98
547 239 242 449
614 239 547 444
1 127 132 451
210 217 362 483
619 415 137 424
126 230 154 349
126 349 154 389
115 137 125 424
320 323 348 370
415 137 125 349
124 349 137 413
320 323 322 348
357 16 515 17
466 467 333 479
356 17 99 609
296 300 307 372
620 526 502 176
76 78 233 234
61 187 317 372
411 450 98 239
136 251 255 442
12 17 18 307
390 214 34 305
32 35 34 37
621 395 334 459
29 334 395 459
622 171 391 395
393 334 621 395
172 174 431 600
29 167 337 459
54 55 572 581
421 581 572 586
594 55 623 416
624 330 625 423
624 422 328 423
234 240 241 266
109 112 595 232
3 9 10 18
111 547 242 449
78 242 112 341
79 84 83 105
595 339 232 341
131 181 272 371
201 177 503 405
626 183 201 405
131 272 181 410
270 406 269 410
131 275 270 406
256 134 162 205
254 255 120 258
356 357 17 609
357 16 17 609
133 251 205 259
0 102 16 258
256 205 204 253
204 252 254 253
611 117 102 258
607 606 71 310
288 312 302 458
166 291 168 514
627 607 71 311
627 311 308 530
94 95 97 181
628 497 382 573
130 180 181 371
629 131 130 181
179 181 178 182
178 182 181 313
541 630 383 543
583 378 631 558
632 382 497 558
288 292 458 461
50 308 382 573
58 288 70 302
329 416 330 581
52 324 54 417
51 53 56 58
633 634 635 406
454 406 635 409
502 177 176 185
76 234 233 283
94 97 178 181
577 636 637 158
